Longitude,Latitude
17.53125,-34.9756
17.59375,-34.9756
17.65625,-34.9756
17.71875,-34.9756
17.78125,-34.9756
17.84375,-34.9756
17.90625,-34.9756
17.96875,-34.9756
18.03125,-34.9756
18.09375,-34.9756
18.15625,-34.9756
18.21875,-34.9756
18.28125,-34.9756
18.34375,-34.9756
18.40625,-34.9756
18.46875,-34.9756
18.53125,-34.9756
18.59375,-34.9756
18.65625,-34.9756
18.71875,-34.9756
18.78125,-34.9756
18.84375,-34.9756
18.90625,-34.9756
18.96875,-34.9756
19.03125,-34.9756
19.09375,-34.9756
19.15625,-34.9756
19.21875,-34.9756
19.28125,-34.9756
19.34375,-34.9756
19.40625,-34.9756
19.46875,-34.9756
19.53125,-34.9756
19.59375,-34.9756
19.65625,-34.9756
19.71875,-34.9756
19.78125,-34.9756
19.84375,-34.9756
19.90625,-34.9756
19.96875,-34.9756
5.03125,-34.924374
5.09375,-34.924374
5.15625,-34.924374
5.21875,-34.924374
5.28125,-34.924374
5.34375,-34.924374
5.40625,-34.924374
5.46875,-34.924374
5.53125,-34.924374
5.59375,-34.924374
5.65625,-34.924374
5.71875,-34.924374
5.78125,-34.924374
5.84375,-34.924374
5.90625,-34.924374
5.96875,-34.924374
6.03125,-34.924374
6.09375,-34.924374
6.15625,-34.924374
6.21875,-34.924374
6.28125,-34.924374
6.34375,-34.924374
6.40625,-34.924374
6.46875,-34.924374
6.53125,-34.924374
6.59375,-34.924374
6.65625,-34.924374
6.71875,-34.924374
6.78125,-34.924374
6.84375,-34.924374
6.90625,-34.924374
6.96875,-34.924374
7.03125,-34.924374
7.09375,-34.924374
7.15625,-34.924374
7.21875,-34.924374
7.28125,-34.924374
7.34375,-34.924374
7.40625,-34.924374
7.46875,-34.924374
7.53125,-34.924374
7.59375,-34.924374
7.65625,-34.924374
7.71875,-34.924374
7.78125,-34.924374
7.84375,-34.924374
7.90625,-34.924374
7.96875,-34.924374
8.03125,-34.924374
8.09375,-34.924374
8.15625,-34.924374
8.21875,-34.924374
8.28125,-34.924374
8.34375,-34.924374
8.40625,-34.924374
8.46875,-34.924374
8.53125,-34.924374
8.59375,-34.924374
8.65625,-34.924374
8.71875,-34.924374
8.78125,-34.924374
8.84375,-34.924374
8.90625,-34.924374
8.96875,-34.924374
9.03125,-34.924374
9.09375,-34.924374
9.15625,-34.924374
9.21875,-34.924374
9.28125,-34.924374
9.34375,-34.924374
9.40625,-34.924374
9.46875,-34.924374
